,Filename,Size in,Depth in,Size out,Depth out,CX Count out,CX Depth out,Runtime
cnt3-5_180.qasm,benchmarking/ibmq/cnt3-5_180.qasm,517,211,713,454,496,377,0.657362
clip_206.qasm,benchmarking/ibmq/clip_206.qasm,33859,17881,61046,45616,46274,39339,59.76952
sqrt8_260.qasm,benchmarking/ibmq/sqrt8_260.qasm,3041,1661,5243,4016,3926,3368,5.055532
4gt13_92.qasm,benchmarking/ibmq/4gt13_92.qasm,98,40,100,81,70,66,0.084551
cnt3-5_179.qasm,benchmarking/ibmq/cnt3-5_179.qasm,207,63,356,174,279,147,0.25999
alu-v4_37.qasm,benchmarking/ibmq/alu-v4_37.qasm,69,24,61,47,45,40,0.034623
urf1_278.qasm,benchmarking/ibmq/urf1_278.qasm,54798,30957,105329,78198,82930,67098,99.404006
ex2_227.qasm,benchmarking/ibmq/ex2_227.qasm,663,357,1035,831,758,705,0.822592
rd73_140.qasm,benchmarking/ibmq/rd73_140.qasm,262,94,375,234,275,199,0.291499
mod5d2_64.qasm,benchmarking/ibmq/mod5d2_64.qasm,85,34,81,69,58,58,0.04956
urf6_160.qasm,benchmarking/ibmq/urf6_160.qasm,171872,93647,303448,216031,228256,181746,333.513623
wim_266.qasm,benchmarking/ibmq/wim_266.qasm,1018,516,1529,1144,1095,963,1.293325
co14_215.qasm,benchmarking/ibmq/co14_215.qasm,17968,8572,33202,23045,25360,19972,34.177544
sym6_145.qasm,benchmarking/ibmq/sym6_145.qasm,3920,2189,5954,4757,4251,3947,5.314469
rd53_133.qasm,benchmarking/ibmq/rd53_133.qasm,612,329,901,704,649,582,0.725574
4gt4-v0_72.qasm,benchmarking/ibmq/4gt4-v0_72.qasm,290,139,383,285,269,236,0.25741
